#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         641     1.15963     1.16428    0.009237
         642     1.15928     1.16427  0.00922261
         643     1.15894     1.16426  0.00920827
         644     1.15858     1.16425  0.00919398
         645     1.15823     1.16424  0.00917973
         646     1.15786     1.16423  0.00916553
         647     1.15749     1.16422  0.00915136
         648     1.15712     1.16421  0.00913725
         649     1.15675      1.1642  0.00912318
         650     1.15638     1.16419  0.00910915
         651     1.15601     1.16417  0.00909517
         652     1.15566     1.16416  0.00908123
         653     1.15533     1.16415  0.00906733
         654     1.15502     1.16413  0.00905347
         655     1.15474     1.16412  0.00903966
         656      1.1545      1.1641   0.0090259
         657      1.1543     1.16409  0.00901217
         658     1.15415     1.16407  0.00899849
         659     1.15404     1.16406  0.00898484
         660     1.15399     1.16404  0.00897124
         661     1.15399     1.16403  0.00895768
         662     1.15405     1.16401  0.00894417
         663     1.15415       1.164  0.00893069
         664      1.1543     1.16398  0.00891725
         665     1.15449     1.16397  0.00890385
         666     1.15472     1.16396  0.00889049
         667     1.15497     1.16394  0.00887718
         668     1.15524     1.16393   0.0088639
         669     1.15552     1.16392  0.00885066
         670      1.1558      1.1639  0.00883745
         671     1.15606     1.16389  0.00882429
         672     1.15631     1.16388  0.00881117
         673     1.15653     1.16387  0.00879808
         674     1.15671     1.16386  0.00878503
         675     1.15684     1.16385  0.00877203
         676     1.15693     1.16384  0.00875905
         677     1.15697     1.16383  0.00874612
         678     1.15695     1.16382  0.00873323
         679     1.15687     1.16381  0.00872037
         680     1.15674      1.1638  0.00870755
         681     1.15655     1.16379  0.00869477
         682     1.15631     1.16378  0.00868203
         683     1.15602     1.16377  0.00866933
         684     1.15569     1.16375  0.00865666
         685     1.15533     1.16374  0.00864403
         686     1.15493     1.16373  0.00863144
         687     1.15451     1.16372  0.00861889
         688     1.15407      1.1637  0.00860637
         689     1.15363     1.16369  0.00859389
         690      1.1532     1.16367  0.00858145
         691     1.15278     1.16366  0.00856905
         692     1.15238     1.16364  0.00855668
         693     1.15201     1.16362  0.00854435
         694     1.15168     1.16361  0.00853206
         695     1.15141     1.16359   0.0085198
         696     1.15119     1.16357  0.00850757
         697     1.15103     1.16355  0.00849539
         698     1.15095     1.16353  0.00848324
         699     1.15094     1.16352  0.00847112
         700     1.15101      1.1635  0.00845904
         701     1.15116     1.16348  0.00844699
         702     1.15141     1.16346  0.00843497
         703     1.15173     1.16345  0.00842299
         704     1.15215     1.16343  0.00841104
         705     1.15264     1.16342  0.00839912
         706     1.15322      1.1634  0.00838724
         707     1.15386     1.16339  0.00837539
         708     1.15458     1.16337  0.00836357
         709     1.15536     1.16336  0.00835178
         710     1.15619     1.16335  0.00834002
         711     1.15706     1.16334   0.0083283
         712     1.15796     1.16334   0.0083166
         713     1.15888     1.16333  0.00830494
         714     1.15981     1.16333  0.00829331
         715     1.16072     1.16332  0.00828171
         716     1.16162     1.16332  0.00827015
         717     1.16248     1.16332  0.00825861
         718      1.1633     1.16332  0.00824711
         719     1.16405     1.16332  0.00823564
         720     1.16473     1.16332   0.0082242
         721     1.16533     1.16332  0.00821279
         722     1.16584     1.16333  0.00820142
         723     1.16624     1.16333  0.00819008
         724     1.16652     1.16334  0.00817877
         725     1.16669     1.16334  0.00816749
         726     1.16673     1.16335  0.00815624
         727     1.16664     1.16335  0.00814502
